From Date;NO2 (ug/m3)
1;24.01
2;58.53
3;52.55
4;37.14
5;18.99
6;17.43
7;11.9
8;11.1
9;9.96
10;9.3
11;8.4
12;9.57
13;15.09
14;18.71
15;19.28
16;11.23
17;14.95
18;24.17
19;26.75
20;14.77
21;11.47
22;10.19
23;12.42
24;12.22
25;13.84
26;36.89
27;63.62
28;32.96
29;18.12
30;26.58
31;15.5
32;15.35
33;20.07
34;14.26
35;9.95
36;16.33
37;12.92
38;24.91
39;33.7
40;15
41;11.2
42;9.83
43;12.94
44;17.71
45;15.29
46;15.77
47;16.54
48;13.98
49;14.99
50;22.75
51;34.48
52;48.48
53;29.75
54;17.06
55;26.45
56;28.36
57;19.09
58;10.38
59;10.28
60;11.27
61;16.54
62;20.39
63;24.16
64;13.8
65;14.87
66;19.08
67;57.52
68;31.88
69;18.68
70;16.48
71;12.17
72;13.15
73;16.91
74;67.31
75;52.28
76;40.69
77;20.03
78;22.16
79;37.07
80;35.52
81;23.56
82;19.23
83;17.46
84;16.55
85;12.48
86;13.99
87;16.46
88;11.77
89;12.88
90;13.15
91;24.33
92;40.21
93;31.95
94;23.33
95;22.1
96;23.11
97;26.62
98;45.76
99;27.64
100;29.5
101;37.16
102;25.12
103;25.43
104;17.08
105;18.08
106;21.15
107;18.76
108;14.76
109;12.4
110;15.9
111;22.69
112;11.6
113;13.92
114;27.06
115;56.36
116;41.5
117;40.04
118;46.54
119;35.95
120;32.55
121;39.34
122;46.75
123;43.06
124;25.1
125;20.86
126;22.04
127;23.43
128;30.12
129;21.57
130;12.09
131;14.14
132;11.94
133;10.83
134;10.44
135;12.31
136;12.37
137;13.45
138;16.22
139;37.35
140;63.23
141;70.82
142;52.2
143;44.42
144;28.86
145;27.21
146;68.78
147;48.62
148;37.72
149;26.7
150;31.43
151;25.09
152;22.57
153;16.47
154;17.86
155;14.45
156;14.53
157;10.45
158;13.02
159;20.25
160;14.11
161;20.55
162;35.05
