V1;V2;V3;V4;V5
D1;1017.1;1019.3;1017;1019.2
D2;2793.7;2793.8;2803.7;2805.8
D3;1091.3;1088.5;1085.7;1082.9
D4;1092;1078;1064;1050
D5;2938.63;2956.44;2964.41;2972.41
D6;153.7315;155.3886;154.7959;155.4378
D7;131.628;107.258;111.895;273.459
D8;1007.38;1003.23;1010.29;1007.4
D9;1006.71;1002.4;1009.45;1006.56
D10;2076.2;2073.4;2048.7;2048.9
D11;1114.8;1108.4;1109.3;1121.7
D12;1980.9;1896.1;1888;1812.3
D13;3166.9;3015.6;2978.6;2809.9
D14;1968.7;1965.1;1962.7;1967.9
D15;2464.8;2500.3;2470.9;2467.5
D16;14987.9;14920.9;14157.1;15627.7
D17;3262.5;3222.5;3202.4;3203.5
D18;11922.7;11981.1;11887.6;11293.2
D19;457.3;452.6;446.8;449.3
D20;11074.9;11563.8;11320.3;11323.3
D21;429.9;431.3;426.5;424.7
D22;1318.77;1307.45;1305.26;1314.36
D23;1185.65;1175.3;1172.97;1180.17
D24;1255.22;1244.45;1242.36;1251.03
D25;1047.52;1038.31;1035.69;1041.94
D26;1166.93;1156.84;1154.28;1162.2
D27;1128.51;1118.67;1116.45;1123.3
D28;1008.74;1007.77;1008.74;1002.91
D29;2073.1;2085.3;2087.5;2133.9
D30;1008.74;1007.77;1008.74;1002.91
D31;10000;9938.3;9691.4;9691.4
D32;10000;9938.3;9691.4;9691.4
D33;6733.117726;6736.048674;6741.453144;6799.712684
D34;750;750;750;750
D35;4374;4176;4176;4176
D36;6098.25;6098.25;6095;6094.25
D37;2931;2944;2938;2862
D38;3139;3157;3150;3077
D39;3128;3146;3138;3068
D40;3201;3259;3276;3318
D41;10922.2;10850.3;10892;11047.4
D42;5000;11111.5;10816;10864
D43;1005.8;999.9;1004.8;1000.1
D44;8623;8630;8595;8558
D45;997.8;994.6;997.2;1002
D46;9978;9946;9972;10020
D47;997.8;994.6;997.2;1002
D48;98.755;98.755;98.7325;98.7875
D49;99.715;99.7125;99.705;99.705
D50;99.7025;99.7;99.6925;99.6775
D51;979.5;980.3;984.9;989.2
D52;3768.3;3748.4;3756;3715.5
D53;979.5;980.3;984.9;989.2
